track_id,track_title,album,kworb_total_streams,kworb_match_score,kworb_fetch_date,billboard_hot100_peak,billboard_hot100_weeks_on_chart,billboard_hot100_debut_date,charted_hot100,riaa_certification,riaa_cert_date,duration_seconds,fetch_timestamp,parser_note
chi_town_late_registration,Chi-Town,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Champion';best_score=62.50
crack_music_remix_late_registration,Crack Music (Remix),Late Registration,39304080,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
ghetto_late_registration,Ghetto,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Ghost Town';best_score=62.50
go_late_registration,Go!,Late Registration,,,,79,,2005-06-14,True,,,224,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Ego (feat. Kanye West)';best_score=66.67
grown_man_pt_2_late_registration,Grown Man Pt. 2,Late Registration,275903854,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
hold_me_late_registration,Hold Me,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Hold My Liquor';best_score=72.73
i_see_now_late_registration,I See Now,Late Registration,1075297,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
make_her_feel_good_remix_late_registration,Make Her Feel Good (Remix),Late Registration,8301427,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
more_late_registration,More,Late Registration,322766068,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
number_one_late_registration,Number One,Late Registration,24664494,100.00,2026-05-10,57,,2006-08-21,True,,,236,2026-05-12T16:42:07Z,
paid_the_price_late_registration,Paid the Price,Late Registration,69333851,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
still_dreaming_late_registration,Still Dreaming,Late Registration,66333109,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
tell_me_when_to_go_remix_late_registration,Tell Me When to Go (Remix),Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Take Me to the Light';best_score=68.42
they_say_late_registration,They Say,Late Registration,17581384,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
top_this_late_registration,Top This,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Run This Town';best_score=66.67
whole_city_behind_us_late_registration,Whole City Behind Us,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='SKY CITY';best_score=66.67
wouldn_t_get_far_late_registration,Wouldn't Get Far,Late Registration,62597795,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
addiction_late_registration,Addiction,Late Registration,62799980,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
back_to_basics_late_registration,Back to Basics.,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='BACK TO ME';best_score=82.35
bring_me_down_late_registration,Bring Me Down,Late Registration,35700080,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
celebration_late_registration,Celebration,Late Registration,35983524,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
crack_music_late_registration,Crack Music,Late Registration,39304080,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
diamonds_from_sierra_leone_late_registration,Diamonds from Sierra Leone,Late Registration,98707789,100.00,2026-05-10,43,,2005-04-20,True,Platinum,,238,2026-05-12T16:42:07Z,
diamonds_from_sierra_leone_remix_late_registration,Diamonds from Sierra Leone (Remix),Late Registration,98707789,100.00,2026-05-10,43,,2005-04-20,True,Platinum,,238,2026-05-12T16:42:07Z,
drive_slow_late_registration,Drive Slow,Late Registration,128736706,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
gold_digger_late_registration,Gold Digger,Late Registration,1512027922,100.00,2026-05-10,1,,2005-07-05,True,13x Platinum,,208,2026-05-12T16:42:07Z,
gone_late_registration,Gone,Late Registration,61775730,100.00,2026-05-10,18,,2005-08-30,True,Gold,,332,2026-05-12T16:42:07Z,
heard_em_say_late_registration,Heard 'Em Say,Late Registration,184303794,100.00,2026-05-10,26,,2005-10-24,True,Platinum,,203,2026-05-12T16:42:07Z,
hey_mama_late_registration,Hey Mama,Late Registration,150441847,100.00,2026-05-10,,,,False,Platinum,,,2026-05-12T16:42:07Z,
late_late_registration,Late.,Late Registration,52562064,88.89,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
roses_late_registration,Roses,Late Registration,108572899,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
skit_1_late_registration,Skit #1,Late Registration,22545425,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
skit_2_late_registration,Skit #2,Late Registration,21936892,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
skit_3_late_registration,Skit #3,Late Registration,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Skit #1 (Kanye West/Late Registration)';best_score=85.71
skit_4_late_registration,Skit #4,Late Registration,12531225,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
touch_the_sky_late_registration,Touch the Sky,Late Registration,545392965,100.00,2026-05-10,42,,2006-02-14,True,2x Platinum,,237,2026-05-12T16:42:07Z,
we_can_make_it_better_late_registration,We Can Make It Better,Late Registration,3092027,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
we_major_late_registration,We Major,Late Registration,98561150,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
impossible_late_registration,Impossible,Late Registration,3752181,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
grammy_family_late_registration,Grammy Family,auto_recovered,4664472,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
barry_bonds_graduation,Barry Bonds,Graduation,88586339,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
because_of_you_remix_graduation,Because of You (Remix),Graduation,23682663,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
bittersweet_poetry_graduation,Bittersweet Poetry,Graduation,,,,,,,False,,,,2026-05-12T16:42:07Z,no_kworb_match;best_kworb_title='Start It Up';best_score=48.28
buy_you_a_drank_remix_graduation,Buy You a Drank (Remix),Graduation,9594701,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,Manual confirmation of kworb match below fuzzy threshold; verified by lyric content review.
drunk_and_hot_girls_graduation,Drunk and Hot Girls,Graduation,76075523,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
flashing_lights_graduation,Flashing Lights,Graduation,1747858849,100.00,2026-05-10,29,,2007-11-20,True,9x Platinum,,237,2026-05-12T16:42:07Z,
good_life_graduation,Good Life,Graduation,591290904,100.00,2026-05-10,7,21,2007-10-02,True,6x Platinum,,207,2026-05-12T16:42:07Z,
good_night_graduation,Good Night,Graduation,56932607,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
homecoming_graduation,Homecoming,Graduation,1060857527,100.00,2026-05-10,69,,2008-02-02,True,4x Platinum,,203,2026-05-12T16:42:07Z,
in_the_mood_graduation,In the Mood,Graduation,2886580,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
southside_graduation,Southside,Graduation,2673977,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
stay_up_viagra_graduation,Stay Up! (Viagra),Graduation,18569673,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
big_brother_graduation,Big Brother,Graduation,95065334,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
can_t_tell_me_nothing_graduation,Can't Tell Me Nothing,Graduation,990847846,100.00,2026-05-10,41,,2007-05-15,True,6x Platinum,,271,2026-05-12T16:42:07Z,
good_morning_graduation,Good Morning,Graduation,414252747,100.00,2026-05-10,,,,False,2x Platinum,,,2026-05-12T16:42:07Z,
i_wonder_graduation,I Wonder,Graduation,1149521267,100.00,2026-05-10,,,,False,5x Platinum,,,2026-05-12T16:42:07Z,
stronger_graduation,Stronger,Graduation,1798266249,100.00,2026-05-10,1,27,2007-07-31,True,13x Platinum,,315,2026-05-12T16:42:07Z,
the_glory_graduation,The Glory,Graduation,126029949,100.00,2026-05-10,,,,False,Gold,,,2026-05-12T16:42:07Z,
american_boy_808s_heartbreak,American Boy,808s & Heartbreak,1060659098,100.00,2026-05-10,,,,False,,,,2026-05-12T16:42:07Z,
amazing_808s_heartbreak,Amazing,808s & Heartbreak,193743617,100.00,2026-05-10,81,,2009-03-10,True,2x Platinum,,238,2026-05-12T16:42:07Z,
