track_title,era_list,n_eras,has_billboard_data
American Boy,808s & Heartbreak;Post-808s feature run,2,False
I See Now,Late Registration;The College Dropout,2,False
King,Bully build-up + Cuck/IAPW controversy;Vultures 1 + Vultures 2,2,True
Number One,Late Registration;The College Dropout,2,True
Sanctified,The Life of Pablo;Yeezus,2,True
Selfish,Donda 2;The College Dropout,2,True
